roundNumber,roundName,sampleCount,successCount,successRate,avgQualityScore,avgTokensTotal,avgLatencyMs,deltaQuality,deltaTokens,deltaLatency,qualityPer1kTokens,gainPer1kExtraTokens,tokenIncreasePct,latencyIncreasePct,teacherAvgQuality,teacherGap,teacherAlignmentPct,teacherGapClosurePct,qualityStdDev,qualityCvPct,fewshotEnabled,isImprovedVsBaseline
0,"baseline",2,2,100,60,405,17500,0,0,0,148.14814814814815,"",0,0,89,29,67.41573033707866,0,2,3.3333333333333335,false,false
1,"fewshot_r1",2,2,100,77.5,595,23850,17.5,190,6350,130.25210084033614,92.10526315789474,46.913580246913575,36.285714285714285,90,12.5,86.11111111111111,56.896551724137936,1.5,1.935483870967742,true,true
